Number,Holding,Ticker,Shares,Market Value,% of net assets
200,Astellas Pharma Inc,4503 JP,62041,€846567.00,0.31%
201,Procter & Gamble Co/The,PG US,8163,€845282.00,0.31%
202,Anthem Inc,ANTM US,3440,€844916.00,0.31%
203,Experian Plc,EXPN LN,31557,€844603.00,0.31%
204,Engie Sa,ENGI FP,66670,€840375.00,0.31%
205,Becton Dickinson And Co,BDX US,4146,€838256.00,0.31%
206,Sanofi,SAN FP,11068,€837294.00,0.31%
207,Central Japan Railway Co,9022 JP,6075,€831991.00,0.31%
208,Roche Holding Ag,ROG SW,3089,€831002.00,0.31%
209,Tokio Marine Holdings Inc,8766 JP,20067,€829570.00,0.31%
210,Nestle Sa,NESN SW,9485,€826356.00,0.31%
211,Kddi Corp,9433 JP,31697,€825499.00,0.31%
212,Philip Morris International Inc,PM US,11613,€821954.00,0.30%
213,Bp Plc,BP/ LN,231231,€814161.00,0.30%
214,Lloyds Banking Group Plc,LLOY LN,1787987,€810526.00,0.30%
215,Verizon Communications Inc,VZ US,17410,€804700.00,0.30%
216,Hsbc Holdings Plc,HSBA LN,158938,€799599.00,0.30%
217,Cme Group Inc,CME US,4753,€796314.00,0.29%
218,Fidelity National Information Services,FIS US,6984,€793070.00,0.29%
219,Bayer Ag,BAYN GR,15368,€792835.00,0.29%
220,Mondelez International Inc,MDLZ US,17920,€792210.00,0.29%
221,International Business Machines Corp,IBM US,7887,€790184.00,0.29%
222,Ck Hutchison Holdings Ltd,1 HK,120374,€784197.00,0.29%
223,Orange Sa,ORA FP,79980,€783324.00,0.29%
224,Pepsico Inc,PEP US,7336,€780170.00,0.29%
225,East Japan Railway Co,9020 JP,12795,€778151.00,0.29%
226,National Grid Plc,NG/ LN,81496,€777313.00,0.29%
227,British American Tobacco Plc,BATS LN,26325,€776094.00,0.29%
228,Canon Inc,7751 JP,42318,€775189.00,0.29%
229,E.On Se,EOAN GR,90607,€769435.00,0.28%
230,Takeda Pharmaceutical Co Ltd,4502 JP,27193,€755720.00,0.28%
231,Coca-Cola Co/The,KO US,18338,€752632.00,0.28%
232,Southern Co/The,SO US,15866,€749689.00,0.28%
233,American Tower Corp,AMT US,4035,€741874.00,0.27%
234,Duke Energy Corp,DUK US,10352,€737783.00,0.27%
235,Merck & Co Inc,MRK US,11997,€732343.00,0.27%
236,Biogen Inc,BIIB US,3220,€730348.00,0.27%
237,Japan Tobacco Inc,2914 JP,48539,€727908.00,0.27%
238,Telefonica Sa,TEF SM,196641,€721476.00,0.27%
239,Glaxosmithkline Plc,GSK LN,50213,€705920.00,0.26%
240,Singapore Telecommunications Ltd,ST SP,474928,€700144.00,0.26%
241,Gilead Sciences Inc,GILD US,13602,€698683.00,0.26%
242,Kao Corp,4452 JP,12674,€696347.00,0.26%
243,Dominion Energy Inc,D US,11824,€683188.00,0.25%
244,Tesco Plc,TSCO LN,248000,€651427.00,0.24%
245,At&T Inc,T US,27448,€642864.00,0.24%
246,Carrier Global Corp,CARR US,8179,€241810.00,0.09%
247,Otis Worldwide Corp,OTIS US,4089,€215623.00,0.08%
248,Siemens Energy Ag,ENR GR,5423,€165293.00,0.06%
249,Other/Cash,,0,€1588483.00,0.59%
