Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
10572,"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,"Martin, George R.R.",Lauren Cannon,"=""0553381695""","=""9780553381696""",5,4.41,Bantam,Paperback,969,2002,1998,2016/01/27,2016/01/20,,,read,,,,1,,,0,,,,,
13542606,Kill Decision,Daniel Suarez,"Suarez, Daniel",,"=""0525952616""","=""9780525952619""",0,3.96,Dutton,Hardcover,400,2012,2012,,2016/01/23,to-read,to-read (#55),to-read,,,,0,,,0,,,,,
22825631,Our Endless Numbered Days,Claire Fuller,"Fuller, Claire",,"=""1941040012""","=""9781941040010""",0,3.66,Tin House Books,Paperback,394,2015,2015,,2016/01/23,to-read,to-read (#54),to-read,,,,0,,,0,,,,,
77566,"Hyperion (Hyperion Cantos, #1)",Dan Simmons,"Simmons, Dan",,"=""0553283685""","=""9780553283686""",0,4.23,Bantam Spectra,Mass Market Paperback,482,1990,1989,,2016/01/13,to-read,to-read (#53),to-read,,,,0,,,0,,,,,
10256723,Ghost in the Wires: My Adventures as the World's Most Wanted Hacker,Kevin D. Mitnick,"Mitnick, Kevin D.","William L. Simon, Steve Wozniak","=""0316037702""","=""9780316037709""",3,3.97,"Little, Brown and Company",Hardcover,393,2011,2011,2016/01/03,2015/12/01,,,read,,,,1,,,0,,,,,
984598,Masters of Deception: The Gang That Ruled Cyberspace,Michelle Slatalla,"Slatalla, Michelle",Joshua Quittner,"=""0060926945""","=""9780060926946""",0,3.90,Harper Perennial,Paperback,240,1995,1995,,2015/12/01,to-read,to-read (#52),to-read,,,,0,,,0,,,,,
281818,Where Wizards Stay Up Late: The Origins of the Internet,Katie Hafner,"Hafner, Katie",Matthew Lyon,"=""0684832674""","=""9780684832678""",0,3.88,Simon  Schuster,Paperback,304,1998,1996,,2015/12/01,to-read,to-read (#51),to-read,,,,0,,,0,,,,,
18490568,"Age of Ambition: Chasing Fortune, Truth, and Faith in the New China",Evan Osnos,"Osnos, Evan",,"=""0374280746""","=""9780374280741""",4,4.25,"Farrar, Straus and Giroux",Hardcover,403,2014,2014,2015/11/28,2015/10/29,,,read,,,,1,,,0,,,,,
10357575,1Q84,Haruki Murakami,"Murakami, Haruki","Jay Rubin, Philip Gabriel","=""0307593312""","=""9780307593313""",5,3.91,Knopf,Hardcover,925,2011,2009,2015/11/04,2013/01/03,,,read,,,,1,,,0,,,,,
12749,"Swann's Way (In Search of Lost Time, #1)",Marcel Proust,"Proust, Marcel","Simon Vance, Lydia Davis","=""0142437964""","=""9780142437964""",0,4.14,Penguin Classics,Paperback,492,2004,1913,,2015/10/30,to-read,to-read (#50),to-read,,,,0,,,0,,,,,
